name,timeStamp,posx,posy,posz,qw,qx,qy,qz
Drone,28521,-2.0012584201761388,-0.02192737523695954,0.028375627709914468,0.9997174423652138,0.007852167395318523,0.015072365469192318,0.016619347072451232
Surface,28521,1.4142228630393878,0.05568183967735241,0.4489768060356523,0.9988652511970226,-0.0014362600574490687,-0.04759362102404516,-0.000997168980649289
Drone,28587,-2.0010231778371854,-0.02187043006311144,0.028301777059681833,0.9996422377727181,0.007793979914490682,0.019605953443350504,0.016439492918651967
Surface,28587,1.4141928807128363,0.05566980554358492,0.4489684258357725,0.9990113884188039,-0.0012961471981303983,-0.044426871991463564,-0.0009049071934340383
Drone,28587,-2.0010731648876785,-0.021855550178975867,0.028348775675883422,0.9996629872864556,0.00791249333818399,0.018382958715754044,0.016533938658037185
Surface,28587,1.414227874996685,0.05564086817267961,0.4489890027901574,0.9991559010440924,-0.0010971185748130568,-0.041054417496173445,-0.0009036280488813877
Drone,28654,-2.0010806972042325,-0.02184875402746621,0.02834216898647641,0.999666521375346,0.00800124926516776,0.018171467097224846,0.016511324448575705
Surface,28654,1.414205543283833,0.05567377152142318,0.4489393618808613,0.9993010187261028,-0.000865810397713548,-0.03736174546992887,-0.000907921124738623
Drone,28654,-2.000676005442963,-0.02200003186225102,0.027837317772470976,0.9994683082866693,0.012070923875639811,0.023656368132270626,0.01891480304318455
Surface,28654,1.4142095994986719,0.05565528432809048,0.4489549348829965,0.9993913043710916,-0.0007903835253646815,-0.03486739048233799,-0.0008130942646290247
Drone,28654,-2.001231375806738,-0.021931747287349684,0.028356325244875257,0.9997232689022407,0.007776895396016533,0.014884159377081242,0.016473230194930247
Surface,28654,1.4141689938873765,0.05568813800958727,0.44897536670313926,0.9993664883205972,-0.0008063578444000134,-0.03556894574141313,-0.0009065912138279284
Drone,28654,-2.0006463804956103,-0.021996093193362844,0.02782955654848202,0.9994088434704437,0.011853546900324386,0.02637063679121939,0.018602326042128175
Surface,28654,1.4142428879953883,0.05567370237870973,0.44897427457891076,0.9993031364687528,-0.0008946729556742797,-0.03730557259656845,-0.0008574714326337147
Drone,28720,-2.00106045817093,-0.021845240876491954,0.028334110985312445,0.9996760283785232,0.008259973759785226,0.017237108713861485,0.01680753408493473
Surface,28720,1.4142096400130002,0.05565031135158685,0.4489566254471463,0.9993766806560467,-0.0007759648568751025,-0.03528454373130973,-0.0008056135029999211
Drone,28720,-2.0010748888674015,-0.02186221372411032,0.028332306819729952,0.9996633127803435,0.0078331840315637,0.01835668925054958,0.016581141960541945
Surface,28720,1.4142104835334526,0.05566892079471501,0.4489638913892654,0.9983503929769059,-0.0019170286675115659,-0.057373792437297,-0.0010323687846901558
