timeStamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz
42036,0.24989652633666992,0.3797910809516907,0.01642913557589054,0.07319165021181107,0.08606941998004913,0.0005048236926086247
42106,0.25290173292160034,0.3803268373012543,0.01992592215538025,0.07250797003507614,0.08526276051998138,0.015379954129457474
42176,0.25876733660697937,0.3895607590675354,0.01718401350080967,0.07405299693346024,0.0875864326953888,0.0006540311151184142
42246,0.26333996653556824,0.3921125531196594,0.016515586525201797,0.0747770369052887,0.08730364590883255,-0.00012617504398804158
42316,0.26982060074806213,0.4087519347667694,0.013605800457298756,0.0762661024928093,0.08997879922389984,-0.01442780252546072
42386,0.2744162082672119,0.40558570623397827,0.014286828227341175,0.07696940004825592,0.08889949321746826,-0.011014169082045555
42456,0.2753628194332123,0.40046191215515137,0.018100829795002937,0.07717760652303696,0.0871211513876915,0.00872785784304142
42526,0.28020524978637695,0.4064229726791382,0.017582830041646957,0.0775759145617485,0.08827843517065048,0.0059464192017912865
42596,0.28625163435935974,0.4113176465034485,0.01626012846827507,0.07866358757019043,0.08873895555734634,0.0008236409048549831
42666,0.293277770280838,0.4223547577857971,0.014409974217414856,0.08016470074653625,0.09070353955030441,-0.008456749841570854
42736,0.29910150170326233,0.42826417088508606,0.013888104818761349,0.08099675178527832,0.0909770205616951,-0.011276569217443466
42806,0.3022129237651825,0.42719322443008423,0.015407631173729897,0.08189629018306732,0.0896594375371933,-0.0036023438442498446
42876,0.30584970116615295,0.4290938079357147,0.01722678355872631,0.08239232748746872,0.09007024019956589,0.006564628798514605
42946,0.30910006165504456,0.42952486872673035,0.01855548843741417,0.08307696878910065,0.08893131464719772,0.013184202834963799
43016,0.3179820775985718,0.4423917233943939,0.01577835902571678,0.08499711751937866,0.09057250618934631,-0.0045089866034686565
43086,0.3250488340854645,0.45103493332862854,0.014975127764046192,0.08620867133140564,0.0926833301782608,-0.009055153466761112
43156,0.32379746437072754,0.4403638243675232,0.019570177420973778,0.08527005463838577,0.08943552523851395,0.014239880256354809
43226,0.33108294010162354,0.4507339298725128,0.017295388504862785,0.08680030703544617,0.09107203781604767,0.0015339895617216825
43296,0.33625009655952454,0.4535280764102936,0.017526213079690933,0.08786816149950027,0.09118754416704178,0.0042754365131258965
43366,0.34376105666160583,0.4684118330478668,0.015182305127382278,0.08922591060400009,0.09426505118608475,-0.008967999368906021
43436,0.34991759061813354,0.47578662633895874,0.014417467638850212,0.09015172719955444,0.09524714201688766,-0.013088333420455456
43506,0.3563236594200134,0.4818429946899414,0.013723697513341904,0.09153780341148376,0.09537666290998459,-0.014153102412819862
